location,age_group_id,mean
GAB,17,0.616
GAB,18,0.601
GAB,19,0.592
GAB,20,0.566
GAB,21,0.509
GBR,34,0.229
GBR,36,0.276
GBR,6,0.339
GBR,7,0.268
GBR,8,0.258
GBR,9,0.404
GBR,38,0.618
GBR,10,0.493
GBR,11,0.564
GBR,12,0.629
GBR,13,0.672
GBR,14,0.691
GBR,15,0.717
GBR,16,0.725
GBR,17,0.724
GBR,18,0.726
GBR,19,0.725
GBR,20,0.681
GBR,21,0.609
GEO,34,0.344
GEO,36,0.28
GEO,6,0.313
GEO,7,0.269
GEO,8,0.2
GEO,9,0.324
GEO,38,0.594
GEO,10,0.435
GEO,11,0.52
GEO,12,0.584
GEO,13,0.644
GEO,14,0.697
GEO,15,0.737
GEO,16,0.753
GEO,17,0.765
GEO,18,0.715
GEO,19,0.694
GEO,20,0.663
GEO,21,0.615
GHA,34,0.08
GHA,36,0.084
GHA,6,0.095
GHA,7,0.073
GHA,8,0.086
GHA,9,0.252
GHA,38,0.334
GHA,10,0.255
GHA,11,0.346
GHA,12,0.369
GHA,13,0.406
GHA,14,0.36
GHA,15,0.408
GHA,16,0.398
GHA,17,0.362
GHA,18,0.313
GHA,19,0.306
GHA,20,0.28
GHA,21,0.228
GIN,34,0.121
GIN,36,0.1
GIN,6,0.117
GIN,7,0.095
GIN,8,0.067
GIN,9,0.107
GIN,38,0.225
GIN,10,0.158
GIN,11,0.182
GIN,12,0.193
GIN,13,0.218
GIN,14,0.232
GIN,15,0.296
GIN,16,0.324
GIN,17,0.334
GIN,18,0.32
GIN,19,0.31
GIN,20,0.284
GIN,21,0.239
GMB,34,0.095
GMB,36,0.125
GMB,6,0.132
GMB,7,0.137
GMB,8,0.13
GMB,9,0.223
GMB,38,0.416
GMB,10,0.31
GMB,11,0.366
GMB,12,0.405
GMB,13,0.449
GMB,14,0.48
GMB,15,0.514
GMB,16,0.529
GMB,17,0.533
GMB,18,0.511
GMB,19,0.504
GMB,20,0.472
GMB,21,0.414
GNB,34,0.196
GNB,36,0.181
GNB,6,0.19
GNB,7,0.19
GNB,8,0.146
GNB,9,0.24
GNB,38,0.46
GNB,10,0.333
GNB,11,0.403
GNB,12,0.45
GNB,13,0.5
GNB,14,0.525
GNB,15,0.569
GNB,16,0.589
GNB,17,0.598
GNB,18,0.58
GNB,19,0.564
GNB,20,0.531
GNB,21,0.466
GNQ,34,0.324
GNQ,36,0.302
GNQ,6,0.314
GNQ,7,0.321
GNQ,8,0.25
GNQ,9,0.378
GNQ,38,0.615
GNQ,10,0.492
GNQ,11,0.566
GNQ,12,0.617
GNQ,13,0.659
GNQ,14,0.685
GNQ,15,0.722
GNQ,16,0.733
GNQ,17,0.738
GNQ,18,0.722
GNQ,19,0.715
GNQ,20,0.688
GNQ,21,0.633
GRC,34,0.266
GRC,36,0.314
GRC,6,0.336
GRC,7,0.399
GRC,8,0.245
GRC,9,0.376
GRC,38,0.613
GRC,10,0.458
GRC,11,0.552
GRC,12,0.598
GRC,13,0.665
GRC,14,0.671
GRC,15,0.718
GRC,16,0.751
GRC,17,0.763
GRC,18,0.746
GRC,19,0.751
GRC,20,0.737
GRC,21,0.653
GRD,34,0.164
GRD,36,0.163
GRD,6,0.169
GRD,7,0.18
GRD,8,0.137
GRD,9,0.222
GRD,38,0.436
GRD,10,0.309
GRD,11,0.376
GRD,12,0.426
GRD,13,0.469
GRD,14,0.501
GRD,15,0.546
GRD,16,0.562
GRD,17,0.566
GRD,18,0.551
GRD,19,0.544
GRD,20,0.504
GRD,21,0.453
GTM,34,0.148
GTM,36,0.165
GTM,6,0.135
GTM,7,0.184
GTM,8,0.192
GTM,9,0.327
GTM,38,0.484
GTM,10,0.44
GTM,11,0.535
GTM,12,0.58
GTM,13,0.626
GTM,14,0.606
GTM,15,0.581
GTM,16,0.512
GTM,17,0.442
GTM,18,0.386
GTM,19,0.363
GTM,20,0.309
GTM,21,0.225
GUY,34,0.138
GUY,36,0.165
GUY,6,0.154
GUY,7,0.197
GUY,8,0.167
GUY,9,0.301
GUY,38,0.524
GUY,10,0.411
GUY,11,0.479
GUY,12,0.534
GUY,13,0.552
GUY,14,0.573
GUY,15,0.611
GUY,16,0.625
GUY,17,0.638
GUY,18,0.638
GUY,19,0.649
GUY,20,0.629
GUY,21,0.577
HND,34,0.127
HND,36,0.163
HND,6,0.139
HND,7,0.215
HND,8,0.168
HND,9,0.272
HND,38,0.513
HND,10,0.396
HND,11,0.479
HND,12,0.545
HND,13,0.575
HND,14,0.591
HND,15,0.602
HND,16,0.615
HND,17,0.617
HND,18,0.602
HND,19,0.591
HND,20,0.563
HND,21,0.518
HRV,34,0.273
HRV,36,0.248
HRV,6,0.249
HRV,7,0.267
HRV,8,0.203
HRV,9,0.307
HRV,38,0.583
HRV,10,0.401
HRV,11,0.471
HRV,12,0.565
HRV,13,0.614
HRV,14,0.672
HRV,15,0.714
HRV,16,0.748
HRV,17,0.768
HRV,18,0.776
HRV,19,0.76
HRV,20,0.727
HRV,21,0.659
HTI,34,0.078
HTI,36,0.086
HTI,6,0.087
HTI,7,0.105
HTI,8,0.069
HTI,9,0.143
HTI,38,0.24
HTI,10,0.224
HTI,11,0.269
HTI,12,0.291
HTI,13,0.304
HTI,14,0.287
HTI,15,0.271
HTI,16,0.255
HTI,17,0.234
HTI,18,0.216
HTI,19,0.181
HTI,20,0.165
HTI,21,0.146
HUN,34,0.302
HUN,36,0.276
HUN,6,0.282
HUN,7,0.306
HUN,8,0.216
HUN,9,0.308
HUN,38,0.602
HUN,10,0.448
HUN,11,0.563
HUN,12,0.599
HUN,13,0.626
HUN,14,0.692
HUN,15,0.71
HUN,16,0.742
HUN,17,0.765
HUN,18,0.765
HUN,19,0.739
HUN,20,0.708
HUN,21,0.648
IDN,34,0.081
IDN,36,0.08
IDN,6,0.082
IDN,7,0.089
IDN,8,0.068
IDN,9,0.127
IDN,38,0.26
IDN,10,0.22
IDN,11,0.276
IDN,12,0.299
IDN,13,0.332
IDN,14,0.332
IDN,15,0.338
IDN,16,0.314
IDN,17,0.291
IDN,18,0.21
IDN,19,0.194
IDN,20,0.183
IDN,21,0.17
IND,34,0.055
IND,36,0.052
IND,6,0.048
IND,7,0.069
IND,8,0.037
IND,9,0.086
IND,38,0.201
IND,10,0.134
IND,11,0.162
IND,12,0.224
IND,13,0.245
IND,14,0.257
IND,15,0.276
IND,16,0.267
IND,17,0.258
IND,18,0.284
IND,19,0.186
IND,20,0.167
IND,21,0.131
IRL,34,0.279
IRL,36,0.265
IRL,6,0.274
IRL,7,0.287
IRL,8,0.222
IRL,9,0.345
IRL,38,0.584
IRL,10,0.449
IRL,11,0.51
IRL,12,0.574
IRL,13,0.622
IRL,14,0.663
IRL,15,0.721
IRL,16,0.725
IRL,17,0.74
IRL,18,0.723
IRL,19,0.683
IRL,20,0.634
IRL,21,0.57
IRN,34,0.248
IRN,36,0.239
IRN,6,0.248
IRN,7,0.271
IRN,8,0.188
IRN,9,0.314
IRN,38,0.564
IRN,10,0.448
IRN,11,0.522
IRN,12,0.591
IRN,13,0.651
IRN,14,0.66
IRN,15,0.696
IRN,16,0.684
IRN,17,0.685
IRN,18,0.632
IRN,19,0.58
IRN,20,0.561
IRN,21,0.483
IRQ,34,0.189
IRQ,36,0.222
IRQ,6,0.203
IRQ,7,0.229
IRQ,8,0.263
IRQ,9,0.439
IRQ,38,0.653
IRQ,10,0.555
IRQ,11,0.636
IRQ,12,0.661
IRQ,13,0.722
IRQ,14,0.74
IRQ,15,0.771
IRQ,16,0.722
IRQ,17,0.724
IRQ,18,0.715
IRQ,19,0.709
IRQ,20,0.679
IRQ,21,0.619
ISL,34,0.249
ISL,36,0.247
ISL,6,0.243
ISL,7,0.26
ISL,8,0.237
ISL,9,0.407
ISL,38,0.671
ISL,10,0.554
ISL,11,0.647
ISL,12,0.691
ISL,13,0.684
ISL,14,0.717
ISL,15,0.765
ISL,16,0.795
ISL,17,0.816
ISL,18,0.81
ISL,19,0.81
ISL,20,0.775
ISL,21,0.66
ISR,34,0.3
ISR,36,0.289
ISR,6,0.295
ISR,7,0.313
ISR,8,0.247
ISR,9,0.306
ISR,38,0.565
ISR,10,0.412
ISR,11,0.483
ISR,12,0.525
ISR,13,0.611
ISR,14,0.654
ISR,15,0.698
ISR,16,0.708
ISR,17,0.761
ISR,18,0.698
ISR,19,0.71
ISR,20,0.663
ISR,21,0.612
ITA,34,0.3
ITA,36,0.272
ITA,6,0.309
ITA,7,0.3
ITA,8,0.177
ITA,9,0.292
ITA,38,0.498
ITA,10,0.345
ITA,11,0.395
ITA,12,0.457
ITA,13,0.503
ITA,14,0.56
ITA,15,0.606
ITA,16,0.647
ITA,17,0.671
ITA,18,0.658
ITA,19,0.662
ITA,20,0.652
ITA,21,0.586
JAM,34,0.216
JAM,36,0.221
JAM,6,0.227
JAM,7,0.24
JAM,8,0.198
JAM,9,0.318
JAM,38,0.503
JAM,10,0.415
JAM,11,0.477
JAM,12,0.542
JAM,13,0.602
JAM,14,0.605
JAM,15,0.615
JAM,16,0.578
JAM,17,0.569
JAM,18,0.525
JAM,19,0.523
JAM,20,0.402
JAM,21,0.351
JOR,34,0.127
JOR,36,0.247
JOR,6,0.173
JOR,7,0.36
JOR,8,0.317
JOR,9,0.464
JOR,38,0.736
JOR,10,0.575
JOR,11,0.667
JOR,12,0.743
JOR,13,0.809
JOR,14,0.834
JOR,15,0.853
JOR,16,0.849
JOR,17,0.866
JOR,18,0.875
JOR,19,0.874
JOR,20,0.844
JOR,21,0.774
JPN,34,0.091
JPN,36,0.139
JPN,6,0.161
JPN,7,0.185
JPN,8,0.109
JPN,9,0.124
JPN,38,0.233
JPN,10,0.164
JPN,11,0.208
JPN,12,0.233
JPN,13,0.266
JPN,14,0.279
JPN,15,0.28
JPN,16,0.286
JPN,17,0.289
JPN,18,0.285
JPN,19,0.288
JPN,20,0.267
JPN,21,0.233
KAZ,34,0.226
KAZ,36,0.212
KAZ,6,0.239
KAZ,7,0.224
KAZ,8,0.159
KAZ,9,0.241
KAZ,38,0.548
KAZ,10,0.356
KAZ,11,0.472
KAZ,12,0.56
KAZ,13,0.618
KAZ,14,0.642
KAZ,15,0.681
KAZ,16,0.702
KAZ,17,0.712
KAZ,18,0.698
KAZ,19,0.69
KAZ,20,0.665
KAZ,21,0.615
KEN,34,0.114
KEN,36,0.113
KEN,6,0.128
KEN,7,0.121
KEN,8,0.088
KEN,9,0.149
KEN,38,0.321
KEN,10,0.228
KEN,11,0.279
KEN,12,0.321
KEN,13,0.364
KEN,14,0.354
KEN,15,0.391
KEN,16,0.413
KEN,17,0.424
KEN,18,0.416
KEN,19,0.415
KEN,20,0.384
KEN,21,0.325
KGZ,34,0.229
KGZ,36,0.194
KGZ,6,0.226
KGZ,7,0.191
KGZ,8,0.132
KGZ,9,0.213
KGZ,38,0.508
KGZ,10,0.307
KGZ,11,0.393
KGZ,12,0.494
KGZ,13,0.555
KGZ,14,0.624
KGZ,15,0.664
KGZ,16,0.681
KGZ,17,0.691
KGZ,18,0.678
KGZ,19,0.669
KGZ,20,0.641
KGZ,21,0.582
KHM,34,0.04
KHM,36,0.038
KHM,6,0.042
KHM,7,0.04
KHM,8,0.028
KHM,9,0.049
KHM,38,0.155
KHM,10,0.099
KHM,11,0.13
KHM,12,0.153
KHM,13,0.176
KHM,14,0.186
KHM,15,0.203
KHM,16,0.217
KHM,17,0.219
KHM,18,0.209
KHM,19,0.202
KHM,20,0.179
KHM,21,0.147
KIR,34,0.57
KIR,36,0.567
KIR,6,0.574
KIR,7,0.602
KIR,8,0.521
KIR,9,0.66
KIR,38,0.791
KIR,10,0.763
KIR,11,0.856
KIR,12,0.819
KIR,13,0.876
KIR,14,0.833
KIR,15,0.859
KIR,16,0.792
KIR,17,0.79
KIR,18,0.771
KIR,19,0.755
KIR,20,0.723
KIR,21,0.668
KOR,34,0.175
KOR,36,0.173
KOR,6,0.171
KOR,7,0.209
KOR,8,0.138
KOR,9,0.209
KOR,38,0.323
KOR,10,0.277
KOR,11,0.291
KOR,12,0.319
KOR,13,0.339
KOR,14,0.361
KOR,15,0.378
KOR,16,0.401
KOR,17,0.402
KOR,18,0.4
KOR,19,0.334
KOR,20,0.322
KOR,21,0.296
KWT,34,0.354
KWT,36,0.348
KWT,6,0.356
KWT,7,0.381
KWT,8,0.299
KWT,9,0.475
KWT,38,0.781
KWT,10,0.636
KWT,11,0.726
KWT,12,0.763
KWT,13,0.833
KWT,14,0.836
KWT,15,0.877
KWT,16,0.932
KWT,17,0.941
KWT,18,0.945
KWT,19,0.955
KWT,20,0.931
KWT,21,0.869
LAO,34,0.049
LAO,36,0.05
LAO,6,0.047
LAO,7,0.058
LAO,8,0.045
LAO,9,0.077
LAO,38,0.246
LAO,10,0.122
LAO,11,0.16
LAO,12,0.267
LAO,13,0.299
LAO,14,0.301
LAO,15,0.331
LAO,16,0.357
LAO,17,0.364
LAO,18,0.346
LAO,19,0.333
LAO,20,0.3
LAO,21,0.248
LBN,34,0.319
LBN,36,0.314
LBN,6,0.285
LBN,7,0.343
LBN,8,0.311
LBN,9,0.413
LBN,38,0.667
LBN,10,0.5
LBN,11,0.576
LBN,12,0.659
LBN,13,0.728
LBN,14,0.777
LBN,15,0.808
LBN,16,0.81
LBN,17,0.814
LBN,18,0.795
LBN,19,0.76
LBN,20,0.769
LBN,21,0.691
LBR,34,0.152
LBR,36,0.135
LBR,6,0.145
LBR,7,0.136
LBR,8,0.109
LBR,9,0.191
LBR,38,0.453
LBR,10,0.311
LBR,11,0.373
LBR,12,0.421
LBR,13,0.455
LBR,14,0.492
LBR,15,0.589
LBR,16,0.629
LBR,17,0.643
LBR,18,0.622
LBR,19,0.612
LBR,20,0.585
LBR,21,0.528
LBY,34,0.358
LBY,36,0.37
LBY,6,0.358
LBY,7,0.385
LBY,8,0.378
LBY,9,0.526
LBY,38,0.739
LBY,10,0.636
LBY,11,0.704
LBY,12,0.75
LBY,13,0.783
LBY,14,0.803
LBY,15,0.825
LBY,16,0.833
LBY,17,0.838
LBY,18,0.828
LBY,19,0.823
LBY,20,0.804
LBY,21,0.758
LCA,34,0.135
LCA,36,0.163
LCA,6,0.178
LCA,7,0.191
LCA,8,0.144
LCA,9,0.239
LCA,38,0.455
LCA,10,0.33
LCA,11,0.399
LCA,12,0.449
LCA,13,0.496
LCA,14,0.522
LCA,15,0.567
LCA,16,0.584
LCA,17,0.593
LCA,18,0.566
LCA,19,0.552
LCA,20,0.51
LCA,21,0.442
LKA,34,0.066
LKA,36,0.069
LKA,6,0.068
LKA,7,0.072
LKA,8,0.07
LKA,9,0.157
LKA,38,0.262
LKA,10,0.217
LKA,11,0.25
LKA,12,0.277
LKA,13,0.303
LKA,14,0.319
LKA,15,0.331
LKA,16,0.32
LKA,17,0.317
LKA,18,0.244
LKA,19,0.255
LKA,20,0.228
LKA,21,0.187
LSO,34,0.161
LSO,36,0.154
LSO,6,0.178
LSO,7,0.159
LSO,8,0.119
LSO,9,0.193
LSO,38,0.428
LSO,10,0.284
LSO,11,0.354
LSO,12,0.399
LSO,13,0.41
LSO,14,0.466
LSO,15,0.566
LSO,16,0.594
LSO,17,0.608
LSO,18,0.581
LSO,19,0.57
LSO,20,0.574
LSO,21,0.517
LTU,34,0.239
LTU,36,0.228
LTU,6,0.225
LTU,7,0.249
LTU,8,0.198
LTU,9,0.324
LTU,38,0.602
LTU,10,0.4
LTU,11,0.526
LTU,12,0.604
LTU,13,0.618
LTU,14,0.676
LTU,15,0.709
LTU,16,0.789
LTU,17,0.82
LTU,18,0.782
LTU,19,0.788
LTU,20,0.735
LTU,21,0.643
LUX,34,0.25
LUX,36,0.237
LUX,6,0.241
LUX,7,0.26
LUX,8,0.198
LUX,9,0.266
LUX,38,0.513
LUX,10,0.401
LUX,11,0.457
LUX,12,0.501
LUX,13,0.528
LUX,14,0.568
LUX,15,0.577
LUX,16,0.63
LUX,17,0.65
LUX,18,0.668
LUX,19,0.711
LUX,20,0.638
LUX,21,0.57
LVA,34,0.2
LVA,36,0.176
LVA,6,0.189
LVA,7,0.18
LVA,8,0.136
LVA,9,0.241
LVA,38,0.564
LVA,10,0.373
LVA,11,0.453
LVA,12,0.509
LVA,13,0.579
LVA,14,0.643
LVA,15,0.698
LVA,16,0.732
LVA,17,0.751
LVA,18,0.782
LVA,19,0.811
LVA,20,0.804
LVA,21,0.811
MAR,34,0.232
MAR,36,0.242
MAR,6,0.242
MAR,7,0.277
MAR,8,0.214
MAR,9,0.301
MAR,38,0.537
MAR,10,0.401
MAR,11,0.481
MAR,12,0.539
MAR,13,0.595
MAR,14,0.621
MAR,15,0.631
MAR,16,0.647
MAR,17,0.658
MAR,18,0.651
MAR,19,0.651
MAR,20,0.627
MAR,21,0.571
MDA,34,0.178
MDA,36,0.155
MDA,6,0.168
MDA,7,0.159
MDA,8,0.118
MDA,9,0.209
MDA,38,0.526
MDA,10,0.327
MDA,11,0.431
MDA,12,0.517
MDA,13,0.601
MDA,14,0.632
MDA,15,0.67
MDA,16,0.688
MDA,17,0.694
MDA,18,0.683
MDA,19,0.689
MDA,20,0.67
MDA,21,0.63
MDG,34,0.089
MDG,36,0.059
MDG,6,0.075
MDG,7,0.051
MDG,8,0.025
MDG,9,0.046
MDG,38,0.111
MDG,10,0.077
MDG,11,0.098
MDG,12,0.111
MDG,13,0.119
MDG,14,0.11
MDG,15,0.147
MDG,16,0.151
MDG,17,0.155
MDG,18,0.152
MDG,19,0.144
MDG,20,0.128
MDG,21,0.1
MDV,34,0.103
MDV,36,0.128
MDV,6,0.11
MDV,7,0.165
MDV,8,0.132
MDV,9,0.202
MDV,38,0.403
MDV,10,0.277
MDV,11,0.355
MDV,12,0.404
MDV,13,0.439
MDV,14,0.484
MDV,15,0.506
MDV,16,0.515
MDV,17,0.518
MDV,18,0.511
MDV,19,0.496
MDV,20,0.447
MDV,21,0.379
MEX,34,0.201
MEX,36,0.288
MEX,6,0.282
MEX,7,0.341
MEX,8,0.318
MEX,9,0.463
MEX,38,0.693
MEX,10,0.601
MEX,11,0.694
MEX,12,0.753
MEX,13,0.795
MEX,14,0.786
MEX,15,0.811
MEX,16,0.78
MEX,17,0.764
MEX,18,0.733
MEX,19,0.697
MEX,20,0.607
MEX,21,0.503
MHL,34,0.326
MHL,36,0.325
MHL,6,0.335
MHL,7,0.357
MHL,8,0.28
MHL,9,0.475
MHL,38,0.769
MHL,10,0.697
MHL,11,0.799
MHL,12,0.814
MHL,13,0.882
MHL,14,0.866
MHL,15,0.888
MHL,16,0.814
MHL,17,0.812
MHL,18,0.799
MHL,19,0.784
MHL,20,0.763
MHL,21,0.722
MKD,34,0.256
MKD,36,0.23
MKD,6,0.242
MKD,7,0.237
MKD,8,0.188
MKD,9,0.298
MKD,38,0.546
MKD,10,0.397
MKD,11,0.472
MKD,12,0.52
MKD,13,0.571
MKD,14,0.61
MKD,15,0.65
MKD,16,0.669
MKD,17,0.68
MKD,18,0.667
MKD,19,0.675
MKD,20,0.703
MKD,21,0.792
MLI,34,0.117
MLI,36,0.116
MLI,6,0.117
MLI,7,0.128
MLI,8,0.101
MLI,9,0.175
MLI,38,0.387
MLI,10,0.247
MLI,11,0.291
MLI,12,0.319
MLI,13,0.358
MLI,14,0.386
MLI,15,0.525
MLI,16,0.577
MLI,17,0.595
MLI,18,0.581
MLI,19,0.568
MLI,20,0.536
MLI,21,0.476
MLT,34,0.311
MLT,36,0.296
MLT,6,0.307
MLT,7,0.318
MLT,8,0.25
MLT,9,0.429
MLT,38,0.66
MLT,10,0.499
MLT,11,0.585
MLT,12,0.617
MLT,13,0.699
MLT,14,0.735
MLT,15,0.784
MLT,16,0.803
MLT,17,0.813
MLT,18,0.82
MLT,19,0.817
MLT,20,0.748
MLT,21,0.72
MMR,34,0.068
MMR,36,0.06
MMR,6,0.058
MMR,7,0.058
MMR,8,0.056
MMR,9,0.09
MMR,38,0.182
MMR,10,0.136
MMR,11,0.162
MMR,12,0.223
MMR,13,0.25
MMR,14,0.234
MMR,15,0.245
MMR,16,0.188
MMR,17,0.189
MMR,18,0.183
MMR,19,0.176
MMR,20,0.158
MMR,21,0.129
MNE,34,0.29
MNE,36,0.268
MNE,6,0.272
MNE,7,0.289
MNE,8,0.222
MNE,9,0.345
MNE,38,0.586
MNE,10,0.454
MNE,11,0.53
MNE,12,0.581
MNE,13,0.628
MNE,14,0.658
MNE,15,0.694
MNE,16,0.713
MNE,17,0.723
MNE,18,0.709
MNE,19,0.7
MNE,20,0.668
MNE,21,0.608
MNG,34,0.217
MNG,36,0.172
MNG,6,0.218
MNG,7,0.149
MNG,8,0.107
MNG,9,0.198
MNG,38,0.494
MNG,10,0.361
MNG,11,0.428
MNG,12,0.507
MNG,13,0.565
MNG,14,0.589
MNG,15,0.625
MNG,16,0.618
MNG,17,0.627
MNG,18,0.6
MNG,19,0.596
MNG,20,0.578
MNG,21,0.537
MOZ,34,0.177
MOZ,36,0.134
MOZ,6,0.163
MOZ,7,0.129
MOZ,8,0.068
MOZ,9,0.09
MOZ,38,0.209
MOZ,10,0.142
MOZ,11,0.171
MOZ,12,0.186
MOZ,13,0.208
MOZ,14,0.22
MOZ,15,0.269
MOZ,16,0.29
MOZ,17,0.298
MOZ,18,0.302
MOZ,19,0.303
MOZ,20,0.278
MOZ,21,0.234
MRT,34,0.07
MRT,36,0.099
MRT,6,0.083
MRT,7,0.128
MRT,8,0.112
MRT,9,0.192
MRT,38,0.39
MRT,10,0.286
MRT,11,0.348
MRT,12,0.375
MRT,13,0.425
MRT,14,0.431
MRT,15,0.473
MRT,16,0.496
MRT,17,0.509
MRT,18,0.505
MRT,19,0.497
MRT,20,0.473
MRT,21,0.419
MUS,34,0.235
MUS,36,0.224
MUS,6,0.237
MUS,7,0.251
MUS,8,0.173
MUS,9,0.26
MUS,38,0.446
MUS,10,0.334
MUS,11,0.388
MUS,12,0.426
MUS,13,0.472
MUS,14,0.502
MUS,15,0.53
MUS,16,0.551
MUS,17,0.566
MUS,18,0.564
MUS,19,0.568
MUS,20,0.535
MUS,21,0.481
MWI,34,0.22
MWI,36,0.184
MWI,6,0.281
MWI,7,0.158
MWI,8,0.076
MWI,9,0.107
MWI,38,0.208
MWI,10,0.184
MWI,11,0.211
MWI,12,0.216
MWI,13,0.242
MWI,14,0.21
MWI,15,0.244
MWI,16,0.24
MWI,17,0.245
MWI,18,0.248
MWI,19,0.243
MWI,20,0.221
MWI,21,0.185
MYS,34,0.219
MYS,36,0.208
MYS,6,0.209
MYS,7,0.23
MYS,8,0.175
MYS,9,0.283
MYS,38,0.463
MYS,10,0.407
MYS,11,0.465
MYS,12,0.454
MYS,13,0.493
MYS,14,0.536
MYS,15,0.555
MYS,16,0.537
MYS,17,0.535
MYS,18,0.516
MYS,19,0.497
MYS,20,0.461
MYS,21,0.397
NAM,34,0.076
NAM,36,0.074
NAM,6,0.073
NAM,7,0.085
NAM,8,0.063
NAM,9,0.131
NAM,38,0.328
NAM,10,0.216
NAM,11,0.291
NAM,12,0.331
NAM,13,0.356
NAM,14,0.376
NAM,15,0.413
NAM,16,0.436
NAM,17,0.448
NAM,18,0.431
NAM,19,0.421
NAM,20,0.394
NAM,21,0.343
NER,34,0.071
NER,36,0.099
NER,6,0.074
NER,7,0.125
NER,8,0.124
NER,9,0.215
NER,38,0.257
NER,10,0.182
NER,11,0.216
NER,12,0.222
NER,13,0.239
NER,14,0.271
NER,15,0.329
NER,16,0.327
NER,17,0.337
NER,18,0.331
NER,19,0.318
NER,20,0.29
NER,21,0.236
NGA,34,0.113
NGA,36,0.126
NGA,6,0.153
NGA,7,0.134
NGA,8,0.098
NGA,9,0.18
NGA,38,0.365
NGA,10,0.258
NGA,11,0.328
NGA,12,0.371
NGA,13,0.407
NGA,14,0.404
NGA,15,0.455
NGA,16,0.472
NGA,17,0.482
NGA,18,0.462
NGA,19,0.446
NGA,20,0.409
NGA,21,0.347
NIC,34,0.157
NIC,36,0.19
NIC,6,0.171
NIC,7,0.237
NIC,8,0.191
NIC,9,0.302
